op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
86,,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Dw,,XCHG,,,1,0,1,1,1,r8,r/m8,,Gb,Eb,,,,,,,,Exchange Register/Memory with Register
87,,,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,DW,,XCHG,,,1,0,1,1,1,r16/32,r/m16/32,,Gvqp,Evqp,,,,,,,,Exchange Register/Memory with Register
88,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,dw,,MOV,,,0,0,1,1,1,r/m8,r8,,Eb,Gb,,,,,,,,Move
89,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,dW,,MOV,,,0,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,,,,,,Move
8A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,MOV,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,,,,,,"Move, (Reverse direction of 0x88)"
8B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,MOV,,,0,0,1,1,1,r16/32,r/m16/32,,Gvqp,Evqp,,,,,,,,"Move, (Reverse direction of 0x89)"
8C,,,,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,d,,MOV,,,0,0,1,1,1,r/m16,Sreg,,Mw,Sw,,,,,,,,Move *First operand is Mw or Rvqp
8D,,,,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,,,LEA,,,0,0,1,0,1,,,,Gvqp,M,,,,,,,,Load Effective Address
8E,,,,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,D,,MOV,,,0,0,1,1,1,Sreg,r/m16,,Sw,Ew,,,,,,,,Move
8F,,0,,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,W,,POP,,,0,0,1,1,1,r/m16/32,,,Ev,,,,,,,,,Pop a Value from the Stack
90,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,NOP,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register AX with Register AX (NOP)
91,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register CX with Register AX
92,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register DX with Register AX
93,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register BX with Register AX
94,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register SP with Register AX
95,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register BP with Register AX
96,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register SI with Register AX
97,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,r,,XCHG,,,0,0,0,0,0,reg16,AX,,Zvqp,AX,,,,,,,,Exchange Register DI with Register AX
98,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,CBW,CWDE,,0,0,0,0,0,eAX,AL/AX,,eAX,AL/AX,,,,,,,,Convert Byte to Word
99,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,CWD,CDQ,,0,0,0,0,0,eDX,eAX,,eDX,eAX,,,,,,,,Convert Word to Doubleword
9A,,,,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,,,CALL,,,0,0,0,0,0,ptr16:16/32,,,Ap,,,,,,,,,Call Procedure
9B,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,WAIT,,,0,0,0,0,0,,,,,,,,,,,,,Wait
9C,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,PUSHF,PUSHFD,,0,0,0,0,0,,,,Fwo,,,,,,,,,Push FLAGS Register onto the Stack
9D,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,POPF,POPFD,,0,0,0,0,0,,,,Fwo,,,,odiszapc,odiszapc,,,,Pop Stack into FLAGS Register
9E,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,SAHF,,,0,0,0,0,0,,,,AH,,,,...szapc,...szapc,,,,Store AH into Flags
9F,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,LAHF,,,0,0,0,0,0,,,,AH,,,...szapc,,,,,,Load Status Flags into AH Register
A0,,,,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,w,,MOV,,,0,0,1,0,0,AL,offset8,,AL,Ob,,,,,,,,Move *Only instructions to use Offset operand type
