op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
D1,2,6,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SETMO,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o..szapc,........,o..szapc,o..SzaPc,,SETMO: Undocumented instruction
D1,2,7,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SAR,,,0,0,1,1,1,r/m16/32,,,Evqp,1,,,o..sz.pc,o..sz.pc,.....a..,o....a..,,Shift
D2,2,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,ROL,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o......c,o..szapc,,,,Rotate
D2,2,1,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,ROR,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o......c,o..szapc,,,,Rotate
D2,2,2,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,RCL,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,.......c,o......c,o..szapc,,,,Rotate
D2,2,3,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,RCR,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,.......c,o......c,o..szapc,,,,Rotate
D2,2,4,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SHL,,SAL,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D2,2,5,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SHR,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D2,2,6,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SETMOC,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o..szapc,........,o..szapc,,,SETMOC: Undocumented instruction
D2,2,7,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,w,,SAR,,,0,0,1,1,1,r/m8,CL reg,,Eb,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
D3,2,0,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,ROL,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o......c,o..szapc,,,,Rotate
D3,2,1,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,ROR,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o......c,o..szapc,,,,Rotate
D3,2,2,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,RCL,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,.......c,o......c,o..szapc,,,,Rotate
D3,2,3,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,RCR,,,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,.......c,o......c,o..szapc,,,,Rotate
D3,2,4,,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,W,,SHL,,SAL,0,0,1,1,1,r/m16/32,CL reg,,Evqp,CL,,,o..sz.pc,o..sz.pc,.....a..,,,Shift
